file,code_column,row_count,unique_codes,duplicate_code_rows,loaded_symbols,referenced_symbols,usage,version_url,downloaded_at,file_sha256
bristol-multimorbidity_alcoholproblems.csv,code,132,132,0,alcohol_snomed_codes,alcohol_snomed_codes,referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_alcoholproblems/625d5706/,2026-02-25 18:52:35.766177Z,f8c01ea43e3d1a1d45557b6b65daa8c04872e2df32095917eaa5839faceb3733
bristol-multimorbidity_anxietydepression.csv,code,680,680,0,depression_snomed_codes,depression_snomed_codes,referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_anxietydepression/67c2d6f2/,2026-02-25 18:52:36.423030Z,dcf79913be934b8701b364f8944e1c6096d865eb9be66ab8c0f4afcc86528063
bristol-multimorbidity_atrial-fibrillation.csv,code,80,80,0,af_snomed_codes,af_snomed_codes,referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_atrial-fibrillation/0f16bd85/,2026-02-25 18:52:35.832973Z,0aa4c805af17ebbebc464f35609ff5740004f099fb89031e5f6cd03bbd1311e8
bristol-multimorbidity_cancer.csv,code,5167,5167,0,cancer_snomed_codes,cancer_snomed_codes,referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_cancer/7e1f8a31/,2026-02-25 18:52:35.921326Z,473d6e7f9038b5f9325ac8e80b0d73b8d93e6aa5b19b75fc442cb378a9d25be4
bristol-multimorbidity_chronic-kidney-disease.csv,code,11,11,0,ckd_snomed_codes,ckd_snomed_codes,referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_chronic-kidney-disease/651016fc/,2026-02-25 18:52:35.984116Z,4c38809f90d58b8275e03b361f7e69d1d8485fc350962e14aba4ea0e6bb182b2
bristol-multimorbidity_connective-tissue-disorder.csv,code,253,253,0,ctd_snomed_codes,,loaded_not_referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_connective-tissue-disorder/52109c4b/,2026-02-25 18:52:36.624500Z,5dcb06f309e7dbc5411a58ed892d3641e05469e8610090a69f0086c57c004455
bristol-multimorbidity_copd.csv,code,101,101,0,copd_snomed_codes,copd_snomed_codes,referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_copd/11c97d7b/,2026-02-25 18:52:35.699699Z,fc7e411eedef682a286b093343e4d31f59f6c48e6adb6642c24d31ab432fc363
bristol-multimorbidity_coronary-heart-disease.csv,code,410,410,0,chd_snomed_codes,chd_snomed_codes,referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_coronary-heart-disease/6b200f80/,2026-02-25 18:52:36.486367Z,93f3ff67e7430e59d657e79fa4431712d6a6269c9d113ec9ee42aea524d55228
bristol-multimorbidity_dementia.csv,code,211,211,0,dementia_snomed_codes,dementia_snomed_codes,referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_dementia/43e863e5/,2026-02-25 18:52:36.044701Z,ac91dabb1d3ec6a6c19cd2a6caeb82ab87144496ac4f65b1d338019be3ab6b64
bristol-multimorbidity_diabetes.csv,code,352,352,0,diabetes_snomed_codes,diabetes_snomed_codes,referenced,https://www.opencodelists.org/codelist/bristol/multimorbidity_diabetes/2ad8f0b0/,2026-02-25 18:52:36.101700Z,2b159eb88a061f93bdded75370bb92f2fac3b13e0295f2245cc8f9831457d7b0
